Sum of Value,Column Labels,,,,,
Row Labels,Germany,Greece,Italy,Japan,Portugal,Grand Total
1960,72814900,8331725,50199700,92500572,8857716,232704613
1961,73377632,8398050,50536350,94943000,8929316,236184348
1962,74025784,8448233,50879450,95832000,8993985,238179452
1963,74714353,8479625,51252000,96812000,9030355,240288333
1964,75318337,8510429,51675350,97826000,9035365,242365481
1965,75963695,8550333,52112350,98883000,8998595,244507973
1966,76600311,8613651,52519000,99790000,8930990,246453952
1967,76951336,8684088,52900500,100725000,8874520,248135444
1968,77294314,8740765,53235750,101061000,8836650,249168479
1969,77909682,8772764,53537950,103172000,8757705,252150101
1970,78169289,8792806,53821850,104345000,8680431,253809376
1971,78312842,8831036,54073490,105697000,8643756,255558124
1972,78688452,8888628,54381345,107188000,8630430,257776855
1973,78936666,8929086,54751406,108079000,8633100,259329258
1974,78967433,8962022,55110868,110162000,8754365,261956688
1975,78673554,9046541,55441001,111940000,9093470,264194566
1976,78336950,9188150,55718260,112771000,9355810,265370170
1977,78159814,9308479,55955411,113863000,9455675,266742379
1978,78091820,9429959,56155143,114898000,9558250,268133172
1979,78126350,9548258,56317749,115870000,9661265,269523622
1980,78288576,9642505,56433883,116782000,9766312,270913276
1981,78407907,9729350,56501675,117648000,9851362,272138294
1982,78333366,9789513,56543548,118449000,9911771,273027198
1983,78128282,9846627,56564074,119259000,9957865,273755848
1984,77858685,9895801,56576718,120018000,9996232,274345436
1985,77684873,9934300,56593071,120754000,10023613,274989857
1986,77720436,9967213,56596155,121492000,10032734,275808538
1987,77839920,10000595,56601931,122091000,10030031,276563477
1988,78144619,10036983,56629288,122613000,10019610,277443500
1989,78751283,10089498,56671781,123116000,10005000,278633562
1990,79433029,10156902,56719240,123537000,9983218,279829389
1991,80013896,10256292,56758521,123921000,9960235,280909944
1992,80624598,10369866,56797087,124229000,9952494,281973045
1993,81156363,10465528,56831821,124536000,9964675,282954387
1994,81438348,10553035,56843400,124961000,9991525,283787308
1995,81678051,10634385,56844303,125439000,10026176,284621915
1996,81914831,10709173,56860281,125757000,10063945,285305230
1997,82034771,10776504,56890372,126057000,10108977,285867624
1998,82047195,10834880,56906744,126400000,10160196,286349015
1999,82100243,10882580,56916317,126631000,10217828,286747968
2000,82211508,10917482,56942108,126843000,10289898,287203996
2001,82349925,10951764,56974100,127149000,10362722,287787511
2002,82488495,10983723,57059007,127445000,10419631,288395856
2003,82534176,11018324,57313203,127718000,10458821,289042524
2004,82516260,11055729,57685327,127761000,10483861,289502177
2005,82469422,11092913,57969484,127773000,10503330,289808149
2006,82376451,11127947,58143979,127854000,10522288,290024665
2007,82266372,11163002,58438310,128001000,10542964,290411648
2008,82110097,11186439,58826731,128063000,10558177,290744444
2009,81902307,11187085,59095365,128047000,10568247,290800004
2010,81776930,11153454,59277417,128070000,10573100,290850901
2011,81797673,11123213,59379449,127817277,10557560,290675172
2012,80425823,11092771,59539717,127561489,10514844,289134644
2013,80645605,11027549,60233948,127338621,10457295,289703018
2014,80889505,10957740,61336387,127131800,10397393,290712825
Grand Total,4361793335,547065293,3082869665,6454620759,536945679,14983294731
