Sum of Value,Column Labels,,,,,
Row Labels,Germany,Greece,Italy,Japan,Portugal,Grand Total
1960,,533.69,804.49,479.00,360.50,2177.673643
1961,,597.29,887.34,563.59,382.73,2430.940772
1962,,630.61,990.26,633.64,407.85,2662.367252
1963,,701.62,1126.02,717.87,432.51,2978.0184
1964,,784.95,1222.54,835.66,468.78,3311.937223
1965,,888.92,1304.45,919.78,520.91,3634.063162
1966,,981.65,1402.44,1058.50,575.01,4017.60599
1967,,1052.12,1533.69,1228.91,646.82,4461.545801
1968,,1134.36,1651.94,1450.62,719.08,4955.995672
1969,,1284.21,1813.39,1669.10,795.76,5562.458013
1970,2750.72,1494.39,2100.68,2003.65,934.17,9283.608073
1971,3180.06,1652.33,2298.84,2234.26,1064.64,10430.12884
1972,3795.57,1899.68,2663.30,2917.66,1302.39,12578.59109
1973,5027.66,2502.81,3195.84,3931.30,1748.16,16405.78105
1974,5617.74,2828.75,3610.52,4281.36,2000.61,18338.98117
1975,6212.76,3153.24,4094.94,4581.57,2127.85,20170.35799
1976,6609.75,3390.55,4021.26,5111.30,2173.50,21306.35273
1977,7653.88,3886.37,4590.09,6230.34,2267.59,24628.27527
1978,9446.17,4694.63,5594.03,8675.01,2457.55,30867.39844
1979,11238.34,5705.95,6969.77,8953.59,2755.90,35623.5437
1980,12092.38,5893.66,8432.09,9307.84,3368.70,39094.67581
1981,10170.45,5380.27,7600.46,10212.38,3246.29,36609.84392
1982,9876.23,5579.23,7534.34,9428.87,3080.25,35498.9323
1983,9827.02,5019.88,7809.58,10213.96,2735.76,35606.20325
1984,9277.93,4852.57,7717.00,10786.79,2523.00,35157.27611
1985,9393.89,4813.71,7967.23,11465.73,2705.46,36346.01851
1986,13410.90,5656.51,11281.80,16882.27,3862.33,51093.80602
1987,16614.41,6564.88,14192.94,20355.61,4804.34,62532.18262
1988,17863.44,7598.03,15698.44,24592.77,5624.25,71376.93281
1989,17697.16,7846.68,16338.56,24505.77,6056.98,72445.14684
1990,22219.57,9637.89,20764.65,25123.63,7885.39,85631.13907
1991,23269.38,10251.58,21892.08,28540.77,8959.87,92913.68224
1992,26333.54,11207.92,23175.25,31013.65,10811.63,102541.985
1993,25488.52,10396.90,18683.76,35451.30,9535.59,99556.07091
1994,27087.56,11049.12,19280.87,38814.89,9978.30,106210.7468
1995,31729.70,12871.30,20603.89,42522.07,11782.52,119509.4818
1996,30564.25,13620.25,23028.51,37422.86,12185.06,116820.9311
1997,27045.72,13284.23,21787.70,34304.15,11578.44,108000.2454
1998,27340.67,13329.93,22260.81,30969.74,12202.69,106103.8424
1999,26795.99,13098.06,21945.51,35004.06,12474.82,109318.4408
2000,23718.75,11952.86,20059.21,37299.64,11502.40,104532.8567
2001,23687.32,12435.56,20409.00,32716.42,11729.15,100977.4483
2002,25205.16,14005.36,22205.84,31235.59,12882.29,105534.2398
2003,30359.95,18326.22,27399.10,33690.94,15772.73,125548.9516
2004,34165.93,21755.35,31188.62,36441.50,18045.59,141597.0001
2005,34696.62,22337.05,31973.93,35781.17,18784.95,143573.7279
2006,36447.87,24561.38,33426.17,34075.98,19821.44,148332.8429
2007,41814.82,28531.57,37716.45,34033.70,22780.06,164876.5938
2008,45699.20,31686.65,40659.67,37865.62,24815.61,180726.7487
2009,41732.71,29498.32,36995.11,39322.60,23063.97,170612.714
2010,41788.04,26841.86,35877.87,42909.23,22540.00,169957.0023
2011,45936.08,25872.01,38364.94,46203.71,23194.74,179571.4883
2012,44010.93,22146.92,34844.50,46679.27,20577.40,168259.0135
2013,46441.68,21719.23,35420.88,38633.71,21618.74,163834.2261
2014,47821.92,21498.42,34908.50,36194.42,22132.17,162555.4262
Grand Total,1019158.35,550919.49,851321.10,1108479.30,458805.25,3988683.488
