Sum of Value,Column Labels,,,,,
Row Labels,Angola,Chad,Mali,Niger,Uganda,Grand Total
2014.00,47.85,47.98,47.54,50.41,48.33,242.107987
"Population, ages 0-14 (% of total)",47.85,47.98,47.54,50.41,48.33,242.107987
Grand Total,47.85,47.98,47.54,50.41,48.33,242.107987
