Sum of Value,Column Labels,,,,,
Row Labels,Germany,Greece,Italy,Japan,Portugal,Grand Total
2014,21.07028098,20.86894408,22.01419209,25.7054222,20.36773831,110.0265776
Population ages 65 and above (% of total),21.07028098,20.86894408,22.01419209,25.7054222,20.36773831,110.0265776
Grand Total,21.07028098,20.86894408,22.01419209,25.7054222,20.36773831,110.0265776
