Sum of Value,Column Labels,,,,,
Row Labels,Bahrain,"Macao SAR, China",Oman,Qatar,United Arab Emirates,Grand Total
2014.00,76.42,78.67,76.36,83.58,85.13,400.1625294
"Population, ages 15-64 (% of total)",76.42,78.67,76.36,83.58,85.13,400.1625294
Grand Total,76.42,78.67,76.36,83.58,85.13,400.1625294
